DATE,BALANCE
2018-01-23,19353.200000000026
2018-01-24,20842.690000000024
2018-01-25,23212.560000000023
2018-01-26,21212.070000000025
2018-01-27,21209.120000000024
2018-01-28,21209.120000000024
2018-01-29,21209.120000000024
2018-01-30,19203.220000000023
2018-01-31,19099.540000000023
2018-02-01,22245.450000000026
2018-02-02,20339.440000000024
2018-02-03,18739.440000000024
2018-02-04,18739.440000000024
2018-02-05,18739.440000000024
2018-02-06,18559.440000000024
2018-02-07,19167.780000000024
2018-02-08,19220.180000000022
2018-02-09,19273.180000000022
2018-02-10,19273.180000000022
2018-02-11,19273.180000000022
2018-02-12,19273.180000000022
2018-02-13,19431.450000000026
2018-02-14,53227.67000000003
2018-02-15,53227.67000000003
2018-02-16,52899.53000000003
2018-02-17,50649.010000000024
2018-02-18,50649.010000000024
2018-02-19,50649.010000000024
2018-02-20,50566.57000000002
2018-02-21,50562.61000000003
2018-02-22,50532.79000000002
2018-02-23,55508.44000000003
2018-02-24,55476.870000000024
2018-02-25,55476.870000000024
2018-02-26,55476.870000000024
2018-02-27,50353.06000000003
2018-02-28,50322.08000000003
2018-03-01,47822.64000000003
2018-03-02,42564.130000000034
2018-03-03,42519.92000000003
2018-03-04,42519.92000000003
2018-03-05,42519.92000000003
2018-03-06,42048.19000000003
2018-03-07,41773.460000000036
2018-03-08,41773.460000000036
2018-03-09,41773.460000000036
2018-03-10,41745.06000000003
2018-03-11,41745.06000000003
2018-03-12,41745.06000000003
2018-03-13,38735.76000000003
2018-03-14,38378.93000000003
2018-03-15,38378.93000000003
2018-03-16,38115.42000000003
2018-03-17,36964.90000000003
2018-03-18,36964.90000000003
2018-03-19,36964.90000000003
2018-03-20,36706.81000000003
2018-03-21,37375.76000000003
2018-03-22,37249.32000000003
2018-03-23,41933.40000000003
2018-03-24,39881.61000000003
2018-03-25,39881.61000000003
2018-03-26,39881.61000000003
2018-03-27,36175.62000000003
2018-03-28,35943.47000000003
2018-03-29,35924.62000000003
2018-03-30,36024.62000000003
2018-03-31,36024.62000000003
2018-04-01,36024.62000000003
2018-04-02,36024.62000000003
2018-04-03,33108.46000000003
2018-04-04,30083.89000000003
2018-04-05,29983.100000000028
2018-04-06,29875.75000000003
2018-04-07,29427.73000000003
2018-04-08,29427.73000000003
2018-04-09,29427.73000000003
2018-04-10,31247.54000000003
2018-04-11,28818.18000000003
2018-04-12,25026.48000000003
2018-04-13,25059.34000000003
2018-04-14,24702.510000000028
2018-04-15,24702.510000000028
2018-04-16,24702.510000000028
2018-04-17,24051.990000000027
2018-04-18,24094.030000000028
